variant sku*,product sku*,product name*,variant name,warehouse location,inventory,brand,category*,color,mrp,cost,size,description*,image url,height mm,width mm,length mm,weight grm,serial,gst,hsn code,tax,enabled,linked
WEFT-CREW-FULL-FORREST-BLACK-S,WEFT-CREW-FULL-FORREST-BLACK-S,Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-BLACK-XL,WEFT-CREW-FULL-FORREST-BLACK-XL,Weft Checkered Men's Round Neck Grey T-Shirt (),Weft Checkered Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-GREY-L,WEFT-CREW-FULL-FORREST-GREY-L,Weft Self Design Men's Round Neck Black T-Shirt (),Weft Self Design Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-GREY-M,WEFT-CREW-FULL-FORREST-GREY-M,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-GREY-S,WEFT-CREW-FULL-FORREST-GREY-S,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-FORREST-GREY-XL,WEFT-CREW-FULL-FORREST-GREY-XL,Weft Self Design Men's Round Neck Black T-Shirt (),Weft Self Design Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-PATTERN-LIGHTBLUE-L,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-L,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-PATTERN-LIGHTBLUE-M,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-M,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-PATTERN-LIGHTBLUE-S,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-S,Weft Checkered Men's Round Neck Maroon T-Shirt (),Weft Checkered Men's Round Neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-PATTERN-LIGHTBLUE-XL,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-XL,Weft Striped Men's V-neck White T-Shirt (),Weft Striped Men's V-neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ROOT-PRINT-GREY-L,WEFT-CREW-FULL-ROOT-PRINT-GREY-L,Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ROOT-PRINT-GREY-M,WEFT-CREW-FULL-ROOT-PRINT-GREY-M,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ROOT-PRINT-GREY-S,WEFT-CREW-FULL-ROOT-PRINT-GREY-S,Weft Graphic Print Men's Round Neck Black T-Shirt (),Weft Graphic Print Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ROOT-PRINT-GREY-XL,WEFT-CREW-FULL-ROOT-PRINT-GREY-XL,Weft Color block Men's V-neck Maroon T-Shirt (),Weft Color block Men's V-neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-BLACK-L,WEFT-CREW-FULL-STRIPE-PRINT-BLACK-L,Weft Striped Men's Round Neck White T-Shirt (),Weft Striped Men's Round Neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-BLACK-M,WEFT-CREW-FULL-STRIPE-PRINT-BLACK-M,Weft Checkered Men's Round Neck Maroon T-Shirt (),Weft Checkered Men's Round Neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-BLACK-S,WEFT-CREW-FULL-STRIPE-PRINT-BLACK-S,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-BLACK-XL,WEFT-CREW-FULL-STRIPE-PRINT-BLACK-XL,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-GREY-L,WEFT-CREW-FULL-STRIPE-PRINT-GREY-L,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-GREY-M,WEFT-CREW-FULL-STRIPE-PRINT-GREY-M,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-GREY-S,WEFT-CREW-FULL-STRIPE-PRINT-GREY-S,Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-PRINT-GREY-XL,WEFT-CREW-FULL-STRIPE-PRINT-GREY-XL,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-WHITE-L,WEFT-CREW-FULL-STRIPE-WHITE-L,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-WHITE-M,WEFT-CREW-FULL-STRIPE-WHITE-M,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-WHITE-S,WEFT-CREW-FULL-STRIPE-WHITE-S,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-STRIPE-WHITE-XL,WEFT-CREW-FULL-STRIPE-WHITE-XL,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-DARKGREY-L,WEFT-CREW-FULL-ZAGZAG-DARKGREY-L,Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-DARKGREY-M,WEFT-CREW-FULL-ZAGZAG-DARKGREY-M,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-DARKGREY-S,WEFT-CREW-FULL-ZAGZAG-DARKGREY-S,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-DARKGREY-XL,WEFT-CREW-FULL-ZAGZAG-DARKGREY-XL,Weft Checkered Men's Round Neck Grey T-Shirt (),Weft Checkered Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-GREY-L,WEFT-CREW-FULL-ZAGZAG-GREY-L,Weft Striped Men's Round Neck White T-Shirt (),Weft Striped Men's Round Neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-GREY-M,WEFT-CREW-FULL-ZAGZAG-GREY-M,Weft Graphic Print Men's Round Neck Black T-Shirt (),Weft Graphic Print Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-GREY-S,WEFT-CREW-FULL-ZAGZAG-GREY-S,Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-FULL-ZAGZAG-GREY-XL,WEFT-CREW-FULL-ZAGZAG-GREY-XL,Weft Striped Men's Round Neck White T-Shirt (),Weft Striped Men's Round Neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-HALF-3COLOR-STYLE-L,WEFT-CREW-HALF-3COLOR-STYLE-L,Weft Color block Men's V-neck Maroon T-Shirt (),Weft Color block Men's V-neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-HALF-3COLOR-STYLE-M,WEFT-CREW-HALF-3COLOR-STYLE-M,Weft Striped Men's V-neck White T-Shirt (),Weft Striped Men's V-neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-HALF-3COLOR-STYLE-S,WEFT-CREW-HALF-3COLOR-STYLE-S,Weft Striped Men's V-neck White T-Shirt (),Weft Striped Men's V-neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-CREW-HALF-3COLOR-STYLE-XL,WEFT-CREW-HALF-3COLOR-STYLE-XL,Weft Graphic Print Men's Round Neck Grey T-Shirt (),Weft Graphic Print Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOODED-FULL-BLACK-L,WEFT-HOODED-FULL-BLACK-L,Weft Color block Men's V-neck Maroon T-Shirt (),Weft Color block Men's V-neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOODED-FULL-BLACK-M,WEFT-HOODED-FULL-BLACK-M,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOODED-FULL-BLACK-S,WEFT-HOODED-FULL-BLACK-S,Weft Checkered Men's Round Neck Grey T-Shirt (),Weft Checkered Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOODED-FULL-BLACK-XL,WEFT-HOODED-FULL-BLACK-XL,Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOOD-FULL-BLACK-L,WEFT-HOOD-FULL-BLACK-L,Weft Solid Men's Hooded Black T-Shirt (),Weft Solid Men's Hooded Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOOD-FULL-BLACK-M,WEFT-HOOD-FULL-BLACK-M,Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Weft Geometric Print Men's Round Neck Light Blue T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOOD-FULL-BLACK-S,WEFT-HOOD-FULL-BLACK-S,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-HOOD-FULL-BLACK-XL,WEFT-HOOD-FULL-BLACK-XL,Weft Striped Men's Round Neck White T-Shirt (),Weft Striped Men's Round Neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-FULL-STRIPE-WHITE-L,WEFT-VNECK-FULL-STRIPE-WHITE-L,Weft Graphic Print Men's Round Neck Black T-Shirt (),Weft Graphic Print Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-FULL-STRIPE-WHITE-M,WEFT-VNECK-FULL-STRIPE-WHITE-M,Weft Color block Men's V-neck Maroon T-Shirt (),Weft Color block Men's V-neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-FULL-STRIPE-WHITE-S,WEFT-VNECK-FULL-STRIPE-WHITE-S,Weft Checkered Men's Round Neck Maroon T-Shirt (),Weft Checkered Men's Round Neck Maroon T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-FULL-STRIPE-WHITE-XL,WEFT-VNECK-FULL-STRIPE-WHITE-XL,Weft Self Design Men's Round Neck Black T-Shirt (),Weft Self Design Men's Round Neck Black T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-HALF-MAROON-BLACK-L,WEFT-VNECK-HALF-MAROON-BLACK-L,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-HALF-MAROON-BLACK-M,WEFT-VNECK-HALF-MAROON-BLACK-M,Weft Striped Men's V-neck White T-Shirt (),Weft Striped Men's V-neck White T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-HALF-MAROON-BLACK-S,WEFT-VNECK-HALF-MAROON-BLACK-S,Weft Self Design Men's Round Neck Grey T-Shirt (),Weft Self Design Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
WEFT-VNECK-HALF-MAROON-BLACK-XL,WEFT-VNECK-HALF-MAROON-BLACK-XL,Weft Checkered Men's Round Neck Grey T-Shirt (),Weft Checkered Men's Round Neck Grey T-Shirt (),Default,1,Weft,tshirt,BLACK,999,399,S,Branded Tshirt Weft Best lightweight fabric sweeps sweat away from your skin and helps regulate body temperature.Occasion: casual office t-shirt.,,25,2,27,0.2,F,5,61091000,5,1,0
